id,fio,telephone_number,city,user_login,user_password,status,user_description
84377d3c-2b73-4109-8046-d786355709c1,Веселов Симон Зиновьевич,+79731348544,Ростов-на-Дону,azari_61,$2b$10$uy1G4oQfl1Q2/jVMp/RmBuR6K7HBIvmcbQ4V44KqfW.kuMnCJk11S,seller,Занимается разведением животных
c1c4afc1-be51-41de-944a-5d8abcc64013,Кириллов Феофан Теймуразович,+79408231683,Нижний Новгород,svetozar_62,$2b$10$RicjNTciIq1Sx.4GRM58CuXhlP3roz1cilFFmt.PD9vEaWQ3YsnJ.,seller,Ищет питомца для семьи
abd7831c-5aaa-45df-ad2c-dbaba0eda8bd,Пономарев Трифон Артемьевич,+79410068181,Краснодар,alekseevparamon,$2b$10$d8mP1iwxHW8LBRyc2kZuxe.q0/92am0AfOv7vCxbCX12lh2.PPunS,seller,Ответственный владелец
e828ec6d-a8ee-40c9-974a-c550349c2441,Тетерина Светлана Григорьевна,+79131457066,Москва,wkalashnikova,$2b$10$TQvurHpzVV.BdevAK7kTbugihl01T/GjGdn4dLRV58AusOB2.3NV.,seller,Любитель собак
f6689230-db84-41f9-b4fd-e30087fb0cb8,Маслова Прасковья Ивановна,+79760250235,Санкт-Петербург,ustinovcheslav,$2b$10$RuV0LOh3vDPhuKKr6RnMS.V1qEQyEhZm0ue9LOgZraDUz/Flomdyq,buyer,Ищет питомца для семьи
cc7d7c77-c90f-43d8-baa6-000aad699575,Сигизмунд Федосеевич Гаврилов,+79235361249,Екатеринбург,anikita51,$2b$10$774NWk2eOwc5FchK.5.NP.Llmz8JkqsmCJhJfZKTJAPxUmTCzw7sq,buyer,Любитель кошек
a7c381c2-c0e4-4e4c-843d-114fcb5fc3af,Парамон Жанович Лебедев,+79759866326,Санкт-Петербург,gorbunovterenti,$2b$10$zfh3Es29FYCx7kVtgXf8JugK/PzMldYijQR2xF75sXUaXvQBQG9bm,seller,Продает питомцев с документами
48c888a0-0f53-47dd-bbc5-13334bc5f092,Исакова Полина Тимофеевна,+79741380338,Новосибирск,mironovtrifon,$2b$10$OI78cUBfoQaX88mn.N7csOJ7JW6z8gEjhzMGoR4xSe89EY3JxKM1i,buyer,Ищет питомца для семьи
858675f3-68f1-4e1e-9625-4ed395f862f1,Милица Эдуардовна Костина,+79418984593,Ростов-на-Дону,yfedotov,$2b$10$786atXSNQuD5zcG21G1c6uGJMiSPYlu7drARMvYiK4f1zh08YtmyC,buyer,Любитель кошек
e29f448f-0870-4c1f-8eb1-2406752d88a9,Аксенова Марфа Вячеславовна,+79552377938,Уфа,sobolevapollinari,$2b$10$QK2.C2lUGtWL8usHa3uc7uQ1Ynz4LSBEt/cQ2yf8bTgpXn0IN.Sgq,buyer,Ответственный владелец
